pathway_id	pathway_name	sample_id	condition	abundance_rna	abundance_dna	log2fc	p_value	padj	direction
PWY-6305	superpathway of putrescine biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	56.903313822799994	1089.62740559653	-1.4880968631073916	0.18136486076511377	0.5025550622312621	down
PWY-6313	serotonin degradation	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	563.02826244495	-3.0393610030787848	0.373900966300059	0.5025550622312621	down
PWY-6317	D-galactose degradation I (Leloir pathway)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	506.44114525136	-3.0433267630770633	0.373900966300059	0.5025550622312621	down
PWY-6328	L-lysine degradation X	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	17.10967302529	-1.8142820647488798	0.373900966300059	0.5025550622312621	down
PWY-6353	purine nucleotides degradation II (aerobic)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	354.64486118989004	-3.581581467030149	0.373900966300059	0.5025550622312621	down
PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	30.253566264390003	-2.8932926414734115	0.23129582962937084	0.5025550622312621	down
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	15.7034442356	589.18918737668	-3.942397348961464	0.2570211469695668	0.5025550622312621	down
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	496.41227500638007	-3.472947569084878	0.373900966300059	0.5025550622312621	down
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	14.093315162	539.77615776483	-3.844558141349719	0.26079244666811774	0.5025550622312621	down
PWY-6435	4-hydroxybenzoate biosynthesis III (plants)	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	115.22742636019	2.312804192951851	0.17816654710430574	0.5025550622312621	up
PWY-6519	8-amino-7-oxononanoate biosynthesis I	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	0.0	422.05664532745004	-4.18098772417289	0.309621145217348	0.5025550622312621	down
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	106.79862619549999	822.54335643513	0.41871397891256784	0.27767050324003295	0.5025550622312621	ns
PWY-6549	L-glutamine biosynthesis III	AD_S1_2016_T2_R1_RNA_paired_combined_Abundance	dry	69.4425930386	1495.04475843802	-0.43056607904399113	0.6535785085843795	0.7341376939474497	ns
